,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_intercept,param_gamma,param_l1_ratio,param_svm_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
104,0.11675794124603271,0.021595990105569417,0.001427912712097168,0.00036506858753975857,0.001,False,scale,0.25,1,"{'alpha': 0.001, 'fit_intercept': False, 'gamma': 'scale', 'l1_ratio': 0.25, 'svm_C': 1}",0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.5,0.5,0.4666666666666666,0.1632993161855452,1390
423,0.5321583032608033,0.12802783802027543,0.0014705419540405273,0.00027924954470794403,0.01,True,auto,0,1000,"{'alpha': 0.01, 'fit_intercept': True, 'gamma': 'auto', 'l1_ratio': 0, 'svm_C': 1000}",0.5,0.6666666666666666,0.5,0.16666666666666666,0.8333333333333334,0.5,0.16666666666666666,0.3333333333333333,0.5,0.5,0.4666666666666666,0.19436506316151,1390
122,0.27263221740722654,0.020089087232981796,0.001301145553588867,2.440251136745575e-05,0.001,False,auto,0,100,"{'alpha': 0.001, 'fit_intercept': False, 'gamma': 'auto', 'l1_ratio': 0, 'svm_C': 100}",0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.4666666666666666,0.1,1390
263,0.4256372690200806,0.055103994518514915,0.0013118743896484374,3.7982436823570415e-05,0.003,True,0.001,0,1000,"{'alpha': 0.003, 'fit_intercept': True, 'gamma': 0.001, 'l1_ratio': 0, 'svm_C': 1000}",0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.5,0.5,0.4666666666666666,0.1632993161855452,1390
22,0.4140770673751831,0.06386162859989858,0.0013034343719482422,1.8438868102198272e-05,0.001,True,auto,0,100,"{'alpha': 0.001, 'fit_intercept': True, 'gamma': 'auto', 'l1_ratio': 0, 'svm_C': 100}",0.5,0.3333333333333333,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,0.4666666666666666,0.06666666666666668,1390
271,0.002261185646057129,0.0004304863634599292,0.001234149932861328,6.821681782018194e-05,0.003,True,0.001,0.5,1000,"{'alpha': 0.003, 'fit_intercept': True, 'gamma': 0.001, 'l1_ratio': 0.5, 'svm_C': 1000}",0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.4666666666666666,0.1,1390
250,0.002007007598876953,0.00029164517970973715,0.001146411895751953,5.569115066421176e-05,0.003,True,0.01,0.5,100,"{'alpha': 0.003, 'fit_intercept': True, 'gamma': 0.01, 'l1_ratio': 0.5, 'svm_C': 100}",0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.4666666666666666,0.1,1390
123,0.2670358419418335,0.01231185129851702,0.0013153553009033203,3.132515287155969e-05,0.001,False,auto,0,1000,"{'alpha': 0.001, 'fit_intercept': False, 'gamma': 'auto', 'l1_ratio': 0, 'svm_C': 1000}",0.6666666666666666,0.5,0.5,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4666666666666666,0.24494897427831783,1390
200,0.4072491407394409,0.06514870657938088,0.0012888193130493164,1.7779712860530514e-05,0.003,True,scale,0,1,"{'alpha': 0.003, 'fit_intercept': True, 'gamma': 'scale', 'l1_ratio': 0, 'svm_C': 1}",0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.16666666666666666,0.3333333333333333,0.5,0.5,0.4666666666666666,0.1632993161855452,1390
227,0.0019652605056762694,4.5952414950130676e-05,0.0010832786560058595,2.2645046344926646e-05,0.003,True,auto,0.25,1000,"{'alpha': 0.003, 'fit_intercept': True, 'gamma': 'auto', 'l1_ratio': 0.25, 'svm_C': 1000}",0.5,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.5,0.5,0.4666666666666666,0.20816659994661327,1390
335,0.00418403148651123,0.00043147878943858943,0.001138448715209961,6.13255039543086e-05,0.003,False,auto,0.75,1000,"{'alpha': 0.003, 'fit_intercept': False, 'gamma': 'auto', 'l1_ratio': 0.75, 'svm_C': 1000}",0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.5,0.3333333333333333,0.0,0.3333333333333333,0.5,0.4666666666666666,0.22110831935702668,1390
1423,0.5115601778030395,0.05210998261589746,0.001386570930480957,8.452354254141018e-05,1,True,auto,0,1000,"{'alpha': 1, 'fit_intercept': True, 'gamma': 'auto', 'l1_ratio': 0, 'svm_C': 1000}",0.3333333333333333,0.5,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.4666666666666666,0.17950549357115014,1390
242,0.4192433595657349,0.05483592869198951,0.0013226509094238282,3.525261980226513e-05,0.003,True,0.01,0,100,"{'alpha': 0.003, 'fit_intercept': True, 'gamma': 0.01, 'l1_ratio': 0, 'svm_C': 100}",0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.5,0.5,0.4666666666666666,0.1632993161855452,1390
30,0.002274012565612793,0.00013676569398613856,0.0011195659637451172,5.611370567506239e-05,0.001,True,auto,0.5,100,"{'alpha': 0.001, 'fit_intercept': True, 'gamma': 'auto', 'l1_ratio': 0.5, 'svm_C': 100}",0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,0.4666666666666666,0.1452966314513558,1390
308,0.008163881301879884,0.00095969678429693,0.0012290477752685547,0.00018399838571400554,0.003,False,scale,0.5,1,"{'alpha': 0.003, 'fit_intercept': False, 'gamma': 'scale', 'l1_ratio': 0.5, 'svm_C': 1}",0.6666666666666666,0.5,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.4666666666666666,0.1632993161855452,1390
